,title,price,rating
0,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 512 GB negro 12 GB RAM,"7,019",4.8
1,Celular Poco X6 Pro 5g 256gb 8gb Yellow,"5,699",4.6
2,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 256 GB gris 8 GB RAM,"5,752",4.8
3,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 512 GB gris 12 GB RAM,"6,968",4.8
4,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 512 GB amarillo 12 GB RAM,"7,399",4.8
5,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 256 GB amarillo 8 GB RAM,"5,543",4.8
6,Xiaomi Pocophone Poco X6 5G Dual SIM 256 GB blanco 12 GB RAM,"5,299",4.8
7,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 256 GB negro 8 GB RAM,"5,992",4.8
8,Xiaomi Pocophone Poco X6 Pro 5g Dual Sim 256 Gb Amarillo 8 Gb Ram,"5,821",4.8
9,Xiaomi Pocophone Poco X6 Pro 5g Dual Sim 256gb Gris 8gb Ram,"5,499",-
10,Xiaomi Pocophone Poco X6 Pro 5g Dual Sim 256 Gb Gris 8 Gb Ram,"5,821",4.8
11,"Poco X6 5g Negro 256 Gb 8 Gb Snapdragon® 7s Gen 2 6,67 Amoled Dotdisplay 64mp+8mp+2mp 5100mah 67w Carga Dual Sim Dolby Atmos Miui 14 Para Poco Hdr Pro","4,930",4.7
12,Xiaomi Pocophone Poco X6 Pro 5g Dual Sim 512 Gb Negro 12 Gb Ram,"6,934",4.7
13,"Xiaomi Poco X6 5g 256 Gb 12 Gb Snapdragon® 7s Gen 2 6,67 1.5k Dotdisplay Crystalres 5100mah Hdr Pro 120 Hz Cristal Corning® Gorilla® Victus 67w Craga","5,341",5.0
14,Xiaomi Poco X6 Pro 5g 8 Gb Ram 256 Gb Mtk D8300 120 Hz 67 W,"5,752",-
15,"Xiaomi Poco X6 5g 256 Gb 12 Gb 5100mah 67w Carga Dual Sim Dolby Atmos Ip54 Miui 14 Para Poco Hdr Pro 64mp+8mp+2mp, 16 Mp Cámara Frontal Altavoces Dual","5,316",4.0
16,"Xiaomi Pocophone Poco X6 Pro 12gb 512gb 6,67'' 64mp 67w 5000mah","7,173",-
17,"Xiaomi Pocophone Poco X6 Pro 8gb 256gb 6,67'' 64mp 67w 5000mah","6,146",-
18,Xiaomi Pocophone Poco X6 Pro 5g 512gb 12gb Gris + Regalo,"7,299",-
19,"Xiaomi Poco X6 Pro 5g 12 Gb 512 Gb Dimensity 8300-ultra Amoled 6.67 Dotdisplay 1.5k 120hz 67w Carga Dual Sim Dolby Atmos Ip54 Hyperos Cpu 3,35 Ghz","7,011",-
20,"Xiaomi Poco X6 Pro 5g 256gb 8gb 5000mah Dimensity 8300-ultra Amoled 6.67 Dotdisplay 1.5k 120hz 67w Carga Dual Sim Dolby Atmos Ip54 Hyperos 3,35 Ghz","5,968",-
21,Xiaomi Poco X6 Pro 5g Dual 256 Gb 8 Ram Gray Msi,"7,399",-
22,Xiaomi Poco X6 Pro 5g 8 Gb Ram 256 Gb Mtk D8300 120 Hz 67 W,"5,752",-
23,Poco X6 Pro Black 5g,"5,299",-
24,Poco X6 Pro 12 Ram 512 Almacenamiento,"7,499",-
